Reading List ID,Google Books ID,Apple Books ID,ISBN-13,Title,Subtitle,Authors,Page Count,Publication Date,Publisher,Description,Subjects,Language Code,Started Reading,Paused,Finished Reading,Did Not Finish,Current Page,Current Percentage,Rating,Notes,Lists
006B9A24-C25D-4B25-8EE0-F116A3318EA4,0ICKantUfvoC,,9780199291151,The Selfish Gene,30th Anniversary Edition,"Dawkins, Richard",360,,OUP Oxford,"Richard Dawkins' brilliant reformulation of the theory of natural selection has the rare distinction of having provoked as much excitement and interest outside the scientific community as within it. His theories have helped change the whole nature of the study of social biology, and have forced thousands of readers to rethink their beliefs about life.
In his internationally bestselling, now classic volume, The Selfish Gene, Dawkins explains how the selfish gene can also be a subtle gene. The world of the selfish gene revolves around savage competition, ruthless exploitation, and deceit, and yet, Dawkins argues, acts of apparent altruism do exist in nature. Bees, for example, will commit suicide when they sting to protect the hive, and birds will risk their lives to warn the flock of an approaching hawk.
This 30th anniversary edition of Dawkins' fascinating book retains all original material, including the two enlightening chapters added in the second edition. In a new Introduction the author presents his thoughts thirty years after the publication of his first and most famous book, while the inclusion of the two-page original Foreword by brilliant American scientist Robert Trivers shows the enthusiastic reaction of the scientific community at that time. This edition is a celebration of a remarkable exposition of evolutionary thought, a work that has been widely hailed for its stylistic brilliance and deep scientific insights, and that continues to stimulate whole new areas of research today.",Anthropology; Cultural & Social; Evolution; Game Theory; Genetics & Genomics; Life Sciences; Mathematics; Science; Social Science; Zoology,en,,,,,,,,,Bookshelf (31)
B5B5E57C-EC2F-4B3E-99D9-A78CBCFBCC37,BFiTEAAAQBAJ,,9780394221458,Citizens,A Chronicle of the French Revolution,"Schama, Simon",875,,Random House of Canada,"Instead of the dying Old Regime, Schama presents an ebullient country, vital and inventive, infatuated with novelty and technology -- a strikingly fresh view of Louis XVI's France. A New York Times bestseller in hardcover. 200 illustrations.",18th Century; Europe; France; History; Military; Modern; Revolutions & Wars of Independence,en,,,,,,,,,
66B3654B-3ED8-4334-9AC7-9A0640E06533,7HpQAAAAMAAJ,,9780142001356,The Dream Machine,J.C.R. Licklider and the Revolution that Made Computing Personal,"Waldrop, M. Mitchell",502,,Penguin Books,"""The year is 1962. More than a decade will pass before personal computers emerge from the garages of Silicon Valley, and a full thirty years before the Internet explosion of the 1990s. The word computer still has an ominous tone, conjuring up the image of a huge, intimidating device hidden away in an overlit, air-conditioned basement, relentlessly processing punch cards for some large institution: them. Yet, sitting in a nondescript office in Robert McNamara's Pentagon, a quiet forty-seven-year-old civilian is already planning the revolution that will change forever the way computers are perceived. Somehow, the occupant of that office - a former MIT psychologist named J. C. R. Licklider - has seen a future in which computers will empower individuals, instead of forcing them into rigid conformity. He is almost alone in his conviction that computers can become not just superfast calculating machines but joyful machines: tools that will serve as new media of expression, inspirations to creativity, and gateways to a vast world of on line information. And now he is determined to use the Pentagon's money to make that vision a reality.""--BOOK JACKET. -- Interview.",Computers; Hardware; History; Networking; Personal Computers; Social Aspects; Technology & Engineering,en,,,,,,,,,
A039E094-EAFA-4181-A80F-3F5CC9BC6FB2,8hYEAQAAIAAJ,,9780140440379,The Last Days of Socrates,,Plato,199,,Penguin Books,"Toward the end of The Apology, Socrates makes a statement that resonates even with those who have never read Plato: ""I tell you that ... examining both myself and others is really the very best thing that a man can do, and that life without this sort of examination is not worth living"" (p. 63). The Apology, Euthyphro, Crito, and Phaedo, which depict Socrates' activities just prior to his trial until his death, hold a central place among the works of Plato. They sum up the philosophical career of Socrates, protagonist of most of the Platonic dialogues. But this summing up does not imply the end of the examinations Socrates pursued. On the contrary, during his last days, Socrates rigorously continued the kind of inquiries he had pursued all his life, even at the risk of execution, and he enjoined his companions to continue them when he was gone. -- Publisher description.",,en,,,,,,,,,Bookshelf (6)
5190FAB8-3BCB-475B-B2B8-69F4FBEC2B48,X9NaAAAAYAAJ,,9780553382563,"I, Robot",,"Asimov, Isaac",256,,Random House Worlds,"This classic science fiction masterwork by Isaac Asimov weaves stories about robots, humanity, and the deep questions of existence into a novel of shocking intelligence and heart.

“A must-read for science-fiction buffs and literature enjoyers alike.”—The Guardian

I, Robot, the first and most widely read book in Asimov’s Robot series, forever changed the world’s perception of artificial intelligence. Here are stories of robots gone mad, of mind-reading robots, and robots with a sense of humor. Of robot politicians, and robots who secretly run the world—all told with the dramatic blend of science fact and science fiction that has become Asimov’s trademark.

The Three Laws of Robotics:
1) A robot may not injure a human being or, through inaction, allow a human being to come to harm.
2) A robot must obey orders given to it by human beings except where such orders would conflict with the First Law.
3) A robot must protect its own existence as long as such protection does not conflict with the First or Second Law.

With these three, simple directives, Isaac Asimov formulated the laws governing robots’ behavior. In I, Robot, Asimov chronicles the development of the robot from its primitive origins in the present to its ultimate perfection in the not-so-distant future—a  future in which humanity itself may be rendered obsolete.

“Tremendously exciting and entertaining . . . Asimov dramatizes an interesting question: How can we live with machines that, generation by generation, grow more intelligent than their creators and not eventually clash with our own invention?”—The Chicago Tribune",Classics; Fiction; Hard Science Fiction; Science Fiction; Short Stories (single author),en,,,,,,,,,
6B9AA964-86A8-4A35-AF1D-684C62D29146,9l8zEAAAQBAJ,,9780140449150,The Prince,,"Machiavelli, Niccolo",144,,Penguin Publishing Group,"Machiavelli's highly influential treatise on political power

The Prince shocked Europe on publication with its advocacy of ruthless tactics for gaining absolute power and its abandonment of conventional morality. Niccoló Machiavelli drew on his own experience of office under the turbulent Florentine republic, rejecting traditional values of political theory and recognizing the complicated, transient nature of political life. Concerned not with lofty ideal but with a regime that would last, The Prince has become the bible of realpolitik, and it still retains its power to alarm and to instruct. In this edition, Machiavelli's tough-minded and pragmatic Italian is preserved in George Bull's clear, unambiguous translation.

For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",Classics; Fiction; Philosophy; Political; Political Process; Political Science,en,,,,,,,,,
D5E0C926-87C1-4AFD-8702-E9235009747B,mquSugAACAAJ,,,Essential Works of John Stuart Mill,,"Mill, John Stuart",434,,Bantam Books,,,en,,,,,,,,,
3FF5DB48-6290-46D1-A5BA-E5B09D49320A,jHWUzQEACAAJ,,9780008425043,Letters from a Stoic (Collins Classics),,"Seneca, Lucius",256,,HarperCollins Publishers Limited,"HarperCollins is proud to present its incredible range of best-loved, essential classics.

No man can live a happy life, or even a supportable life, without the study of wisdom

Lucius Annaeus Seneca (4 BC-AD 65) is one of the most famous Roman philosophers. Instrumental in guiding the Roman Empire under emperor Nero, Seneca influenced him from a young age with his Stoic principles. Later in life, he wrote Epistulae Morales ad Lucilium, or Letters from a Stoic, detailing these principles in full.

Seneca's letters read like a diary, or a handbook of philosophical meditations. Often beginning with observations on daily life, the letters focus on many traditional themes of Stoic philosophy, such as the contempt of death, the value of friendship and virtue as the supreme good.

Using Gummere's translation from the early twentieth century, this selection of Seneca's letters shows his belief in the austere, ethical ideals of Stoicism - teachings we can still learn from today.","Ancient & Classical; Body, Mind & Spirit; Education; Essays; Ethics & Moral Philosophy; Literary Collections; Mind & Body; Mindfulness & Meditation; Philosophy; Philosophy, Theory & Social Aspects",en,,,,,,,,,
C750F24A-CA38-44AC-ADFE-F07E5CABD524,IMtGnwEACAAJ,,9780743264730,Einstein,His Life and Universe,"Isaacson, Walter",675,,Simon & Schuster,"By the author of the acclaimed bestsellers Benjamin Franklin and Steve Jobs, this is the definitive biography of Albert Einstein. 

How did his mind work? What made him a genius? Isaacson’s biography shows how his scientific imagination sprang from the rebellious nature of his personality. His fascinating story is a testament to the connection between creativity and freedom.

Based on newly released personal letters of Einstein, this book explores how an imaginative, impertinent patent clerk—a struggling father in a difficult marriage who couldn’t get a teaching job or a doctorate—became the mind reader of the creator of the cosmos, the locksmith of the mysteries of the atom, and the universe. His success came from questioning conventional wisdom and marveling at mysteries that struck others as mundane. This led him to embrace a morality and politics based on respect for free minds, free spirits, and free individuals.

These traits are just as vital for this new century of globalization, in which our success will depend on our creativity, as they were for the beginning of the last century, when Einstein helped usher in the modern age.",20th Century; Biography & Autobiography; History; Modern; Physics; Relativity; Science; Science & Technology,en,,,,,,,,,Bookshelf (25)
52F74261-28B5-458B-94F5-E3F4A41F09E2,0Fn0QAAACAAJ,,9780753819968,The Ancestor's Tale,A Pilgrimage to the Dawn of Life,"Dawkins, Richard; Wong, Yan",685,,Phoenix,"One of the most brilliant scientists of our age gives us his definitive work: a synthesis of his comprehensive vision of life.

THE ANCESTOR'S TALE is a pilgrimage back through time; a journey on which we meet up with fellow pilgrims as we and they converge on our common ancestors. Chimpanzees join us at about 6 million years in the past, orang utans at 14 million years, as we stride on together, a growing band. The journey provides the setting for a collection of some 40 tales.

Each explores an aspect of evolutionary biology through the stories of characters met along the way. The tales are interspersed with prologues detailing the journey, route maps showing joining lineages, and life-like reconstructions of our common ancestors. THE ANCESTOR'S TALE represents a pilgrimage on an unimaginable scale: our goal is four billion years away, and the number of pilgrims joining us grows vast - ultimately encompassing all living creatures. At the end of the journey lies something remarkable in its simplicity and transformative power: the first, humble, replicating molecules.",,en,,,,,,,,,Bookshelf (3)
171BBE90-81B4-4AF9-85B8-303665FFC066,GkqdlwEACAAJ,,9780316029186,The Last Wish,Introducing the Witcher,"Sapkowski, Andrzej",384,,Orbit,"Soon to be a major Netflix original series!
Geralt the Witcher -- revered and hated -- holds the line against the monsters plaguing humanity in this collection of adventures in the NYT bestselling series that inspired the blockbuster video games. 
Geralt is a Witcher, a man whose magic powers, enhanced by long training and a mysterious elixir, have made him a brilliant fighter and a merciless assassin. Yet he is no ordinary murderer: his targets are the multifarious monsters and vile fiends that ravage the land and attack the innocent.
But not everything monstrous-looking is evil and not everything fair is good...and in every fairy tale there is a grain of truth.
Andrzej Sapkowski, winner of the World Fantasy Lifetime Achievement award, started an international phenomenon with his Witcher series. The Last Wish short story collection is the perfect introduction to this one of a kind fantasy world.

Witcher collectionsThe Last WishSword of Destiny
Witcher novelsBlood of Elves
The Time of Contempt
Baptism of Fire The Tower of SwallowsLady of the LakeSeason of Storms
The Malady and Other Stories: An Andrzej Sapkowski Sampler (e-only)

Translated from original Polish by Danusia Stok",Action & Adventure; Collections & Anthologies; Dragons & Mythical Creatures; Epic; Fantasy; Fiction,en,,,,,,,,,Bookshelf (5)
94D8DAC1-9E68-40AA-AC98-4DADFB464C21,TlzhDwAAQBAJ,,9781982159375,On Writing,A Memoir of the Craft,"King, Stephen",320,,Simon and Schuster,"Twentieth Anniversary Edition with Contributions from Joe Hill and Owen King

Immensely helpful and illuminating to any aspiring writer, this special edition of Stephen King’s critically lauded, million-copy bestseller shares the experiences, habits, and convictions that have shaped him and his work.

“Long live the King” hailed Entertainment Weekly upon publication of Stephen King’s On Writing. Part memoir, part master class by one of the bestselling authors of all time, this superb volume is a revealing and practical view of the writer’s craft, comprising the basic tools of the trade every writer must have. King’s advice is grounded in his vivid memories from childhood through his emergence as a writer, from his struggling early career to his widely reported, near-fatal accident in 1999—and how the inextricable link between writing and living spurred his recovery. Brilliantly structured, friendly and inspiring, On Writing will empower and entertain everyone who reads it—fans, writers, and anyone who loves a great story well told.",Biography & Autobiography; Composition & Creative Writing; Language Arts & Disciplines; Personal Memoirs; Style Manuals,en,,,,,,,,,Bookshelf (7)
09F16625-EF25-4D03-ABC0-2B50B09DB649,IcM3DwAAQBAJ,,9781101980019,Martin Luther,The Man Who Rediscovered God and Changed the World,"Metaxas, Eric",496,,Penguin Publishing Group,"NEW YORK TIMES BESTSELLER

“Metaxas is a scrupulous chronicler and has an eye for a good story. . . . full, instructive, and pacey.” —The Washington Post

From #1 New York Times bestselling author Eric Metaxas comes a brilliant and inspiring biography of the most influential man in modern history, Martin Luther, in time for the 500th anniversary of the Reformation

On All Hallow’s Eve in 1517, a young monk named Martin Luther posted a document he hoped would spark an academic debate, but that instead ignited a conflagration that would forever destroy the world he knew. Five hundred years after Luther’s now famous Ninety-five Theses appeared, Eric Metaxas, acclaimed biographer of the bestselling Bonhoeffer: Pastor, Martyr, Prophet, Spy and Amazing Grace: William Wilberforce and the Heroic Campaign to End Slavery, paints a startling portrait of the wild figure whose adamantine faith cracked the edifice of Western Christendom and dragged medieval Europe into the future. Written in riveting prose and impeccably researched, Martin Luther tells the searing tale of a humble man who, by bringing ugly truths to the highest seats of power, caused the explosion whose sound is still ringing in our ears. Luther’s monumental faith and courage gave birth to the ideals of liberty, equality, and individualism that today lie at the heart of all modern life.",16th Century; Biography & Autobiography; Christianity; History; Modern; Protestant; Religion; Religious,en,,,,,,,,,
4BCF9D56-175B-4F32-8463-AF1A92A74A20,oGpmAAAAMAAJ,,9780679438083,Titan,"The Life of John D. Rockefeller, Sr","Chernow, Ron",774,,Random House,"John D. Rockefeller, Sr.--history's first billionaire and the patriarch of America's most famous dynasty--is an icon whose true nature has eluded three generations of historians. Now Ron Chernow, the National Book Award-winning biographer of the Morgan and Warburg banking families, gives us a history of the mogul ""etched with uncommon objectivity and literary grace . . . as detailed, balanced, and psychologically insightful a portrait of the tycoon as we may ever have"" (Kirkus Reviews). Titan is the first full-length biography based on unrestricted access to Rockefeller's exceptionally rich trove of papers. A landmark publication full of startling revelations, the book will indelibly alter our image of this most enigmatic capitalist. Born the son of a flamboyant, bigamous snake-oil salesman and a pious, straitlaced mother, Rockefeller rose from rustic origins to become the world's richest man by creating America's most powerful and feared monopoly, Standard Oil. Branded ""the Octopus"" by legions of muckrakers, the trust refined and marketed nearly 90 percent of the oil produced in America. Rockefeller was likely the most controversial businessman in our nation's history. Critics charged that his empire was built on unscrupulous tactics: grand-scale collusion with the railroads, predatory pricing, industrial espionage, and wholesale bribery of political officials. The titan spent more than thirty years dodging investigations until Teddy Roosevelt and his trustbusters embarked on a marathon crusade to bring Standard Oil to bay. While providing abundant new evidence of Rockefeller's misdeeds, Chernow discards the stereotype of the cold-blooded monster to sketch an unforgettably human portrait of a quirky, eccentric original. A devout Baptist and temperance advocate, Rockefeller gave money more generously--his chosen philanthropies included the Rockefeller Foundation, the University of Chicago, and what is today Rockefeller University--than anyone before him. Titan presents a finely nuanced portrait of a fascinating, complex man, synthesizing his public and private lives and disclosing numerous family scandals, tragedies, and misfortunes that have never before come to light. John D. Rockefeller's story captures a pivotal moment in American history, documenting the dramatic post-Civil War shift from small business to the rise of giant corporations that irrevocably transformed the nation. With cameos by Joseph Pulitzer, William Randolph Hearst, Jay Gould, William Vanderbilt, Ida Tarbell, Andrew Carnegie, Carl Jung, J. Pierpont Morgan, William James, Henry Clay Frick, Mark Twain, and Will Rogers, Titan turns Rockefeller's life into a vivid tapestry of American society in the late nineteenth and early twentieth centuries. It is Ron Chernow's signal triumph that he narrates this monumental saga with all the sweep, drama, and insight that this giant subject deserves. From the Hardcover edition.",Biography & Autobiography; Business; Historical; Rich & Famous,en,,,,,,,,,
